INV Size,Gate Width (nm),Height (um),Width (um),Area (um^2),tpdr (ns),tpdf (ns),delay (ns)
1,150,3.62,0.93,3.3666,2.327,2.788,2.5575
2,300,3.92,0.93,3.6456,2.079,2.698,2.3885
3,450,4.22,0.93,3.9246,1.893,2.586,2.2395
4,600,4.52,0.93,4.2036,1.764,2.504,2.134
5,750,4.82,0.93,4.4826,1.674,2.409,2.0415
6,900,5.12,0.93,4.7616,1.597,2.333,1.965
7,1050,5.42,0.93,5.0406,1.529,2.266,1.8975
8,1200,5.72,0.93,5.3196,1.466,2.202,1.834
9,1350,6.02,0.93,5.5986,1.408,2.149,1.7785
10,1500,6.32,0.93,5.8776,1.355,2.103,1.729
