Mode,INV Size,Gate Width (nm),Height (um),Width (um),Area (um^2),delay (ns)
Active,1,150,3.62,0.93,3.3666,0.24
Active,2,300,3.92,0.93,3.6456,0.18
Active,3,450,4.22,0.93,3.9246,0.145
Active,4,600,4.52,0.93,4.2036,0.124
Active,5,750,4.82,0.93,4.4826,0.109
Active,6,900,5.12,0.93,4.7616,0.098
Active,7,1050,5.42,0.93,5.0406,0.089
Active,8,1200,5.72,0.93,5.3196,0.081
Active,9,1350,6.02,0.93,5.5986,0.075
Active,10,1500,6.32,0.93,5.8776,0.069
Moderate,1,150,3.62,0.93,3.3666,3.8
Moderate,2,300,3.92,0.93,3.6456,3
Moderate,3,450,4.22,0.93,3.9246,2.34
Moderate,4,600,4.52,0.93,4.2036,1.96
Moderate,5,750,4.82,0.93,4.4826,1.66
Moderate,6,900,5.12,0.93,4.7616,1.46
Moderate,7,1050,5.42,0.93,5.0406,1.29
Moderate,8,1200,5.72,0.93,5.3196,1.15
Moderate,9,1350,6.02,0.93,5.5986,1.04
Moderate,10,1500,6.32,0.93,5.8776,0.95
Passive,1,150,3.62,0.93,3.3666,115
Passive,2,300,3.92,0.93,3.6456,89
Passive,3,450,4.22,0.93,3.9246,70
Passive,4,600,4.52,0.93,4.2036,59
Passive,5,750,4.82,0.93,4.4826,49
Passive,6,900,5.12,0.93,4.7616,42
Passive,7,1050,5.42,0.93,5.0406,36
Passive,8,1200,5.72,0.93,5.3196,32
Passive,9,1350,6.02,0.93,5.5986,28
Passive,10,1500,6.32,0.93,5.8776,25
